Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
318       	0.0124         	0.000000       	10000     	1.0000    	1.40           
598       	0.0134         	0.000000       	20000     	1.0000    	2.10           
888       	0.0134         	0.000000       	30000     	1.0000    	1.70           
1165      	0.0136         	0.000000       	40000     	1.0000    	1.90           
1453      	0.0133         	0.000000       	50000     	1.0000    	1.50           
1748      	0.0130         	0.001672       	60000     	0.9910    	2.30           
2048      	0.0128         	0.001519       	70000     	0.9820    	2.00           
2320      	0.0136         	0.001612       	80000     	0.9730    	1.30           
2608      	0.0131         	0.001653       	90000     	0.9640    	1.80           
2865      	0.0149         	0.001722       	100000    	0.9550    	2.50           
3168      	0.0126         	0.001759       	110000    	0.9460    	2.80           
3459      	0.0131         	0.001647       	120000    	0.9370    	2.10           
3745      	0.0132         	0.001672       	130000    	0.9280    	2.60           
4040      	0.0131         	0.001650       	140000    	0.9190    	1.60           
4322      	0.0138         	0.001694       	150000    	0.9100    	1.50           
4607      	0.0127         	0.001716       	160000    	0.9010    	1.80           
4911      	0.0126         	0.001631       	170000    	0.8920    	2.60           
5221      	0.0130         	0.001684       	180000    	0.8830    	2.00           
5531      	0.0126         	0.001684       	190000    	0.8740    	2.10           
5792      	0.0144         	0.001659       	200000    	0.8650    	2.50           
6089      	0.0132         	0.001584       	210000    	0.8560    	2.60           
6371      	0.0138         	0.001250       	220000    	0.8470    	2.30           
6638      	0.0144         	0.000981       	230000    	0.8380    	1.10           
6958      	0.0124         	0.000828       	240000    	0.8290    	1.60           
7240      	0.0132         	0.000716       	250000    	0.8200    	0.90           
7530      	0.0129         	0.000619       	260000    	0.8110    	1.20           
7822      	0.0131         	0.000619       	270000    	0.8020    	1.40           
8116      	0.0128         	0.000531       	280000    	0.7930    	1.50           
8391      	0.0137         	0.000512       	290000    	0.7840    	2.00           
8670      	0.0131         	0.000503       	300000    	0.7750    	1.20           
8975      	0.0125         	0.000509       	310000    	0.7660    	1.40           
9281      	0.0122         	0.000544       	320000    	0.7570    	1.90           
9569      	0.0132         	0.000509       	330000    	0.7480    	2.50           
9866      	0.0132         	0.000469       	340000    	0.7390    	2.40           
10168     	0.0128         	0.000488       	350000    	0.7300    	2.80           
10454     	0.0131         	0.000447       	360000    	0.7210    	1.70           
10724     	0.0136         	0.000484       	370000    	0.7120    	1.90           
11008     	0.0139         	0.000431       	380000    	0.7030    	2.00           
11304     	0.0128         	0.000481       	390000    	0.6940    	2.90           
11586     	0.0137         	0.000497       	400000    	0.6850    	2.40           
11889     	0.0128         	0.000459       	410000    	0.6760    	1.50           
12196     	0.0126         	0.000472       	420000    	0.6670    	2.40           
12482     	0.0136         	0.000491       	430000    	0.6580    	2.10           
12780     	0.0134         	0.000591       	440000    	0.6490    	2.30           
13046     	0.0142         	0.000584       	450000    	0.6400    	2.60           
13305     	0.0157         	0.000609       	460000    	0.6310    	2.80           
13561     	0.0150         	0.000619       	470000    	0.6220    	2.40           
13832     	0.0147         	0.000631       	480000    	0.6130    	3.60           
14065     	0.0162         	0.000616       	490000    	0.6040    	3.00           
14302     	0.0158         	0.000712       	500000    	0.5950    	5.40           
14536     	0.0162         	0.000697       	510000    	0.5860    	4.50           
14765     	0.0161         	0.000762       	520000    	0.5770    	4.80           
14975     	0.0173         	0.000756       	530000    	0.5680    	5.30           
15179     	0.0172         	0.000769       	540000    	0.5590    	6.80           
15385     	0.0172         	0.000781       	550000    	0.5500    	5.50           
15582     	0.0171         	0.000775       	560000    	0.5410    	8.00           
15772     	0.0176         	0.000794       	570000    	0.5320    	6.20           
15942     	0.0184         	0.000856       	580000    	0.5230    	10.00          
16109     	0.0186         	0.000812       	590000    	0.5140    	10.00          
16267     	0.0193         	0.000834       	600000    	0.5050    	11.30          
16419     	0.0191         	0.000850       	610000    	0.4960    	10.20          
16581     	0.0207         	0.000903       	620000    	0.4870    	9.60           
16738     	0.0197         	0.000925       	630000    	0.4780    	11.80          
16875     	0.0201         	0.000938       	640000    	0.4690    	14.10          
17006     	0.0222         	0.000956       	650000    	0.4600    	11.80          
17137     	0.0226         	0.000956       	660000    	0.4510    	11.40          
17270     	0.0235         	0.000953       	670000    	0.4420    	12.80          
17385     	0.0229         	0.000981       	680000    	0.4330    	12.40          
17507     	0.0240         	0.000997       	690000    	0.4240    	14.20          
17614     	0.0240         	0.000988       	700000    	0.4150    	12.30          
17722     	0.0226         	0.000941       	710000    	0.4060    	15.20          
17851     	0.0219         	0.000962       	720000    	0.3970    	16.10          
17972     	0.0232         	0.001006       	730000    	0.3880    	15.50          
18089     	0.0226         	0.000950       	740000    	0.3790    	14.60          
18197     	0.0227         	0.000984       	750000    	0.3700    	13.50          
18310     	0.0235         	0.000919       	760000    	0.3610    	15.10          
18417     	0.0243         	0.001028       	770000    	0.3520    	17.10          
18512     	0.0260         	0.001075       	780000    	0.3430    	16.10          
18619     	0.0231         	0.001016       	790000    	0.3340    	16.20          
18726     	0.0262         	0.001138       	800000    	0.3250    	15.60          
18822     	0.0248         	0.001122       	810000    	0.3160    	19.50          
18923     	0.0251         	0.001128       	820000    	0.3070    	19.00          
19028     	0.0244         	0.001062       	830000    	0.2980    	18.40          
19132     	0.0245         	0.001094       	840000    	0.2890    	13.70          
19230     	0.0245         	0.001072       	850000    	0.2800    	16.10          
19321     	0.0252         	0.001191       	860000    	0.2710    	15.60          
19420     	0.0254         	0.001172       	870000    	0.2620    	14.20          
19523     	0.0241         	0.001216       	880000    	0.2530    	16.10          
19623     	0.0250         	0.001244       	890000    	0.2440    	17.40          
19713     	0.0265         	0.001147       	900000    	0.2350    	15.60          
19799     	0.0269         	0.001188       	910000    	0.2260    	16.80          
19896     	0.0268         	0.001303       	920000    	0.2170    	20.10          
19979     	0.0261         	0.001334       	930000    	0.2080    	23.10          
20062     	0.0260         	0.001312       	940000    	0.1990    	18.60          
20145     	0.0262         	0.001372       	950000    	0.1900    	19.80          
20227     	0.0274         	0.001491       	960000    	0.1810    	21.30          
20312     	0.0270         	0.001366       	970000    	0.1720    	18.20          
20391     	0.0260         	0.001450       	980000    	0.1630    	21.10          
20470     	0.0277         	0.001478       	990000    	0.1540    	21.60          
20543     	0.0288         	0.001572       	1000000   	0.1450    	24.60          
20626     	0.0300         	0.001550       	1010000   	0.1360    	20.90          
20703     	0.0291         	0.001431       	1020000   	0.1270    	17.90          
20773     	0.0303         	0.001503       	1030000   	0.1180    	23.20          
20853     	0.0281         	0.001506       	1040000   	0.1090    	20.30          
20915     	0.0324         	0.001528       	1050000   	0.1000    	23.60          
20977     	0.0297         	0.001603       	1060000   	0.1000    	31.80          
21044     	0.0329         	0.001622       	1070000   	0.1000    	31.30          
21110     	0.0353         	0.001756       	1080000   	0.1000    	31.40          
21174     	0.0308         	0.001750       	1090000   	0.1000    	24.90          
21241     	0.0330         	0.001712       	1100000   	0.1000    	34.80          
21315     	0.0299         	0.001822       	1110000   	0.1000    	22.00          
21383     	0.0305         	0.001775       	1120000   	0.1000    	27.70          
21439     	0.0332         	0.001797       	1130000   	0.1000    	35.30          
21502     	0.0324         	0.001750       	1140000   	0.1000    	31.80          
21561     	0.0320         	0.001844       	1150000   	0.1000    	35.10          
21617     	0.0323         	0.001725       	1160000   	0.1000    	24.90          
21676     	0.0351         	0.001853       	1170000   	0.1000    	39.80          
21724     	0.0379         	0.001744       	1180000   	0.1000    	41.20          
21772     	0.0382         	0.002141       	1190000   	0.1000    	41.20          
21831     	0.0346         	0.002006       	1200000   	0.1000    	42.30          
21889     	0.0372         	0.001919       	1210000   	0.1000    	33.60          
21947     	0.0360         	0.002062       	1220000   	0.1000    	41.70          
22007     	0.0378         	0.002128       	1230000   	0.1000    	33.10          
22058     	0.0363         	0.002134       	1240000   	0.1000    	40.00          
22107     	0.0358         	0.002234       	1250000   	0.1000    	41.50          
22155     	0.0421         	0.002231       	1260000   	0.1000    	43.90          
22201     	0.0395         	0.002241       	1270000   	0.1000    	47.70          
22250     	0.0389         	0.002269       	1280000   	0.1000    	39.80          
22302     	0.0381         	0.002378       	1290000   	0.1000    	50.20          
22355     	0.0378         	0.002369       	1300000   	0.1000    	42.30          
22402     	0.0404         	0.002388       	1310000   	0.1000    	50.50          
22456     	0.0364         	0.002606       	1320000   	0.1000    	41.00          
22503     	0.0400         	0.002472       	1330000   	0.1000    	49.10          
22548     	0.0369         	0.002606       	1340000   	0.1000    	37.00          
22602     	0.0323         	0.002781       	1350000   	0.1000    	43.10          
22654     	0.0377         	0.002762       	1360000   	0.1000    	46.00          
22703     	0.0368         	0.002803       	1370000   	0.1000    	60.30          
22755     	0.0355         	0.002709       	1380000   	0.1000    	42.60          
22804     	0.0371         	0.002788       	1390000   	0.1000    	51.40          
22851     	0.0405         	0.003075       	1400000   	0.1000    	47.00          
22897     	0.0362         	0.003216       	1410000   	0.1000    	50.10          
22954     	0.0352         	0.003306       	1420000   	0.1000    	39.80          
23009     	0.0342         	0.003459       	1430000   	0.1000    	48.40          
23056     	0.0418         	0.003456       	1440000   	0.1000    	51.60          
23101     	0.0418         	0.003566       	1450000   	0.1000    	48.70          
23151     	0.0354         	0.003491       	1460000   	0.1000    	46.00          
23203     	0.0384         	0.003356       	1470000   	0.1000    	48.20          
23248     	0.0437         	0.003484       	1480000   	0.1000    	38.90          
23292     	0.0407         	0.004041       	1490000   	0.1000    	69.80          
23337     	0.0432         	0.003712       	1500000   	0.1000    	56.50          
23381     	0.0477         	0.003719       	1510000   	0.1000    	54.30          
23429     	0.0383         	0.004219       	1520000   	0.1000    	66.90          
23475     	0.0408         	0.004328       	1530000   	0.1000    	61.10          
23521     	0.0414         	0.004022       	1540000   	0.1000    	56.20          
23563     	0.0385         	0.004425       	1550000   	0.1000    	58.10          
23615     	0.0396         	0.004544       	1560000   	0.1000    	52.80          
23660     	0.0435         	0.004609       	1570000   	0.1000    	36.50          
23703     	0.0412         	0.004881       	1580000   	0.1000    	65.00          
23743     	0.0432         	0.004725       	1590000   	0.1000    	60.10          
23782     	0.0496         	0.004584       	1600000   	0.1000    	64.60          
23824     	0.0432         	0.004681       	1610000   	0.1000    	66.80          
23866     	0.0422         	0.004462       	1620000   	0.1000    	62.70          
23907     	0.0441         	0.004303       	1630000   	0.1000    	63.00          
23951     	0.0423         	0.004466       	1640000   	0.1000    	64.80          
24000     	0.0426         	0.004650       	1650000   	0.1000    	62.80          
24042     	0.0444         	0.005153       	1660000   	0.1000    	60.20          
24083     	0.0443         	0.005303       	1670000   	0.1000    	61.00          
24126     	0.0455         	0.005341       	1680000   	0.1000    	69.10          
24167     	0.0408         	0.005047       	1690000   	0.1000    	68.00          
24207     	0.0404         	0.005300       	1700000   	0.1000    	51.90          
24252     	0.0428         	0.005428       	1710000   	0.1000    	56.60          
24293     	0.0436         	0.005656       	1720000   	0.1000    	69.30          
24334     	0.0447         	0.005488       	1730000   	0.1000    	73.10          
24376     	0.0454         	0.005259       	1740000   	0.1000    	63.50          
24424     	0.0403         	0.005022       	1750000   	0.1000    	62.60          
24471     	0.0394         	0.005419       	1760000   	0.1000    	63.60          
24510     	0.0444         	0.005497       	1770000   	0.1000    	54.70          
24558     	0.0427         	0.005747       	1780000   	0.1000    	64.90          
24597     	0.0480         	0.005919       	1790000   	0.1000    	62.20          
24636     	0.0492         	0.006459       	1800000   	0.1000    	69.40          
24677     	0.0436         	0.006488       	1810000   	0.1000    	71.30          
24721     	0.0448         	0.006444       	1820000   	0.1000    	72.00          
24757     	0.0491         	0.006631       	1830000   	0.1000    	72.00          
24802     	0.0433         	0.006678       	1840000   	0.1000    	67.70          
24844     	0.0476         	0.006572       	1850000   	0.1000    	67.00          
24888     	0.0453         	0.006566       	1860000   	0.1000    	57.70          
24930     	0.0439         	0.006928       	1870000   	0.1000    	68.90          
24974     	0.0454         	0.006588       	1880000   	0.1000    	64.20          
25019     	0.0421         	0.006512       	1890000   	0.1000    	57.30          
25066     	0.0440         	0.006412       	1900000   	0.1000    	59.60          
25113     	0.0476         	0.006788       	1910000   	0.1000    	81.00          
25153     	0.0526         	0.007247       	1920000   	0.1000    	70.30          
25195     	0.0540         	0.007659       	1930000   	0.1000    	81.10          
25243     	0.0432         	0.007919       	1940000   	0.1000    	55.80          
25282     	0.0655         	0.007806       	1950000   	0.1000    	65.60          
25321     	0.0587         	0.007494       	1960000   	0.1000    	57.10          
25366     	0.0487         	0.008056       	1970000   	0.1000    	70.10          
25407     	0.0450         	0.008159       	1980000   	0.1000    	62.20          
