Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
279       	0.0139         	0.000000       	10000     	1.0000    	2.20           
599       	0.0122         	0.000000       	20000     	1.0000    	3.70           
882       	0.0135         	0.000000       	30000     	1.0000    	1.70           
1170      	0.0129         	0.000000       	40000     	1.0000    	3.00           
1457      	0.0132         	0.000000       	50000     	1.0000    	2.60           
1760      	0.0127         	0.001594       	60000     	0.9910    	2.30           
2069      	0.0123         	0.001578       	70000     	0.9820    	2.50           
2365      	0.0127         	0.001606       	80000     	0.9730    	1.30           
2669      	0.0123         	0.001678       	90000     	0.9640    	1.60           
2956      	0.0127         	0.001734       	100000    	0.9550    	1.10           
3239      	0.0135         	0.001638       	110000    	0.9460    	1.00           
3539      	0.0125         	0.001522       	120000    	0.9370    	2.00           
3849      	0.0126         	0.001672       	130000    	0.9280    	2.00           
4125      	0.0136         	0.001653       	140000    	0.9190    	2.20           
4414      	0.0133         	0.001641       	150000    	0.9100    	1.60           
4707      	0.0128         	0.001666       	160000    	0.9010    	1.50           
4997      	0.0134         	0.001359       	170000    	0.8920    	2.50           
5280      	0.0135         	0.001041       	180000    	0.8830    	1.10           
5577      	0.0131         	0.000853       	190000    	0.8740    	2.10           
5869      	0.0134         	0.000791       	200000    	0.8650    	1.40           
6152      	0.0134         	0.000672       	210000    	0.8560    	1.30           
6441      	0.0132         	0.000603       	220000    	0.8470    	1.30           
6744      	0.0125         	0.000509       	230000    	0.8380    	2.00           
7047      	0.0126         	0.000519       	240000    	0.8290    	2.20           
7356      	0.0127         	0.000541       	250000    	0.8200    	1.10           
7628      	0.0146         	0.000550       	260000    	0.8110    	1.40           
7913      	0.0138         	0.000534       	270000    	0.8020    	1.50           
8218      	0.0127         	0.000522       	280000    	0.7930    	1.40           
8516      	0.0130         	0.000503       	290000    	0.7840    	2.50           
8799      	0.0139         	0.000481       	300000    	0.7750    	2.00           
9092      	0.0135         	0.000522       	310000    	0.7660    	1.70           
9417      	0.0121         	0.000538       	320000    	0.7570    	1.90           
9715      	0.0135         	0.000459       	330000    	0.7480    	1.30           
9999      	0.0140         	0.000481       	340000    	0.7390    	2.00           
10289     	0.0136         	0.000484       	350000    	0.7300    	1.00           
10597     	0.0124         	0.000494       	360000    	0.7210    	1.90           
10912     	0.0123         	0.000500       	370000    	0.7120    	1.40           
11227     	0.0126         	0.000575       	380000    	0.7030    	1.10           
11559     	0.0125         	0.000628       	390000    	0.6940    	1.80           
11877     	0.0128         	0.000622       	400000    	0.6850    	1.30           
12170     	0.0143         	0.000688       	410000    	0.6760    	1.40           
12427     	0.0152         	0.000725       	420000    	0.6670    	4.80           
12693     	0.0146         	0.000722       	430000    	0.6580    	4.80           
12959     	0.0139         	0.000756       	440000    	0.6490    	6.20           
13176     	0.0165         	0.000841       	450000    	0.6400    	5.60           
13399     	0.0161         	0.000909       	460000    	0.6310    	7.30           
13628     	0.0161         	0.000884       	470000    	0.6220    	5.10           
13830     	0.0167         	0.000953       	480000    	0.6130    	8.10           
14025     	0.0178         	0.000966       	490000    	0.6040    	5.20           
14218     	0.0177         	0.001025       	500000    	0.5950    	5.90           
14391     	0.0190         	0.001025       	510000    	0.5860    	6.90           
14566     	0.0185         	0.001022       	520000    	0.5770    	7.10           
14740     	0.0181         	0.001072       	530000    	0.5680    	8.80           
14919     	0.0189         	0.001125       	540000    	0.5590    	7.50           
15076     	0.0199         	0.001075       	550000    	0.5500    	7.70           
15238     	0.0201         	0.001059       	560000    	0.5410    	8.90           
15389     	0.0209         	0.001147       	570000    	0.5320    	9.50           
15556     	0.0197         	0.001131       	580000    	0.5230    	10.60          
15691     	0.0234         	0.001125       	590000    	0.5140    	11.60          
15848     	0.0196         	0.001125       	600000    	0.5050    	11.10          
