Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
306       	0.0122         	0.000000       	10000     	1.0000    	2.60           
593       	0.0130         	0.000000       	20000     	1.0000    	2.20           
893       	0.0119         	0.000000       	30000     	1.0000    	2.50           
1184      	0.0127         	0.000000       	40000     	1.0000    	2.60           
1472      	0.0132         	0.000000       	50000     	1.0000    	2.20           
1772      	0.0123         	0.001609       	60000     	0.9910    	2.80           
2077      	0.0124         	0.001597       	70000     	0.9820    	1.90           
2379      	0.0127         	0.001556       	80000     	0.9730    	1.10           
2678      	0.0128         	0.001562       	90000     	0.9640    	2.80           
2977      	0.0126         	0.001528       	100000    	0.9550    	1.20           
3262      	0.0134         	0.001584       	110000    	0.9460    	2.50           
3549      	0.0135         	0.001653       	120000    	0.9370    	1.20           
3872      	0.0120         	0.001691       	130000    	0.9280    	2.40           
4169      	0.0133         	0.001588       	140000    	0.9190    	2.80           
4480      	0.0121         	0.001612       	150000    	0.9100    	1.20           
4774      	0.0131         	0.001653       	160000    	0.9010    	1.80           
5094      	0.0120         	0.001684       	170000    	0.8920    	2.10           
5388      	0.0133         	0.001794       	180000    	0.8830    	2.50           
5704      	0.0119         	0.001772       	190000    	0.8740    	2.90           
5990      	0.0134         	0.001703       	200000    	0.8650    	2.30           
6306      	0.0122         	0.001734       	210000    	0.8560    	2.10           
6620      	0.0125         	0.001669       	220000    	0.8470    	2.60           
6930      	0.0121         	0.001616       	230000    	0.8380    	1.90           
7220      	0.0126         	0.001450       	240000    	0.8290    	1.20           
7525      	0.0128         	0.001138       	250000    	0.8200    	2.00           
7839      	0.0125         	0.001012       	260000    	0.8110    	1.30           
8114      	0.0136         	0.000941       	270000    	0.8020    	2.70           
8392      	0.0139         	0.000781       	280000    	0.7930    	2.30           
8705      	0.0123         	0.000747       	290000    	0.7840    	2.00           
8996      	0.0131         	0.000681       	300000    	0.7750    	2.20           
9299      	0.0127         	0.000656       	310000    	0.7660    	2.90           
9587      	0.0134         	0.000653       	320000    	0.7570    	1.20           
9891      	0.0123         	0.000653       	330000    	0.7480    	2.10           
10186     	0.0132         	0.000631       	340000    	0.7390    	1.90           
10478     	0.0125         	0.000619       	350000    	0.7300    	1.50           
