Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
257       	0.0147         	0.000000       	10000     	1.0000    	1.80           
552       	0.0129         	0.000000       	20000     	1.0000    	2.20           
844       	0.0130         	0.000000       	30000     	1.0000    	1.80           
1120      	0.0139         	0.000000       	40000     	1.0000    	1.80           
1400      	0.0136         	0.000000       	50000     	1.0000    	1.60           
1708      	0.0124         	0.001975       	60000     	0.9910    	1.90           
1999      	0.0130         	0.003616       	70000     	0.9820    	2.10           
2296      	0.0129         	0.003572       	80000     	0.9730    	2.30           
2590      	0.0129         	0.003584       	90000     	0.9640    	2.30           
2882      	0.0124         	0.003662       	100000    	0.9550    	2.70           
3183      	0.0125         	0.003697       	110000    	0.9460    	1.90           
3470      	0.0131         	0.003600       	120000    	0.9370    	2.30           
3770      	0.0129         	0.002966       	130000    	0.9280    	1.90           
4035      	0.0149         	0.001922       	140000    	0.9190    	1.80           
4335      	0.0130         	0.001591       	150000    	0.9100    	1.90           
4626      	0.0129         	0.001150       	160000    	0.9010    	2.70           
4907      	0.0137         	0.000925       	170000    	0.8920    	1.10           
5211      	0.0128         	0.000812       	180000    	0.8830    	2.00           
5528      	0.0125         	0.000756       	190000    	0.8740    	2.70           
5813      	0.0134         	0.000744       	200000    	0.8650    	2.80           
6116      	0.0124         	0.000719       	210000    	0.8560    	2.20           
6420      	0.0125         	0.000678       	220000    	0.8470    	2.00           
6747      	0.0115         	0.000712       	230000    	0.8380    	1.50           
7060      	0.0122         	0.000712       	240000    	0.8290    	2.00           
7344      	0.0133         	0.000703       	250000    	0.8200    	2.00           
7644      	0.0121         	0.000672       	260000    	0.8110    	2.10           
7947      	0.0122         	0.000625       	270000    	0.8020    	1.90           
8284      	0.0110         	0.000609       	280000    	0.7930    	1.60           
8587      	0.0125         	0.000619       	290000    	0.7840    	3.40           
8878      	0.0133         	0.000591       	300000    	0.7750    	2.50           
9163      	0.0139         	0.000612       	310000    	0.7660    	2.80           
9413      	0.0147         	0.000675       	320000    	0.7570    	1.50           
9684      	0.0142         	0.000709       	330000    	0.7480    	2.70           
9951      	0.0139         	0.000762       	340000    	0.7390    	2.60           
10203     	0.0153         	0.000834       	350000    	0.7300    	2.70           
10456     	0.0147         	0.000953       	360000    	0.7210    	2.70           
10731     	0.0142         	0.001016       	370000    	0.7120    	3.30           
10987     	0.0145         	0.001006       	380000    	0.7030    	3.70           
11251     	0.0147         	0.000972       	390000    	0.6940    	6.00           
11479     	0.0164         	0.001012       	400000    	0.6850    	3.80           
11701     	0.0179         	0.001081       	410000    	0.6760    	4.80           
11892     	0.0171         	0.001088       	420000    	0.6670    	6.20           
12089     	0.0170         	0.001116       	430000    	0.6580    	6.90           
12278     	0.0171         	0.001166       	440000    	0.6490    	9.50           
12482     	0.0170         	0.001144       	450000    	0.6400    	8.70           
12691     	0.0164         	0.001228       	460000    	0.6310    	7.80           
12874     	0.0186         	0.001306       	470000    	0.6220    	10.70          
13052     	0.0183         	0.001297       	480000    	0.6130    	8.50           
13222     	0.0190         	0.001331       	490000    	0.6040    	13.30          
13385     	0.0193         	0.001372       	500000    	0.5950    	10.30          
13539     	0.0198         	0.001322       	510000    	0.5860    	11.70          
13702     	0.0202         	0.001341       	520000    	0.5770    	13.00          
13853     	0.0203         	0.001341       	530000    	0.5680    	12.70          
13994     	0.0201         	0.001366       	540000    	0.5590    	14.30          
14131     	0.0193         	0.001344       	550000    	0.5500    	15.00          
14290     	0.0198         	0.001269       	560000    	0.5410    	12.90          
14437     	0.0211         	0.001216       	570000    	0.5320    	17.40          
14574     	0.0222         	0.001275       	580000    	0.5230    	15.20          
14708     	0.0208         	0.001275       	590000    	0.5140    	18.60          
14847     	0.0215         	0.001306       	600000    	0.5050    	16.60          
14977     	0.0221         	0.001291       	610000    	0.4960    	16.40          
15122     	0.0219         	0.001253       	620000    	0.4870    	15.70          
15253     	0.0234         	0.001253       	630000    	0.4780    	16.40          
15374     	0.0219         	0.001225       	640000    	0.4690    	20.10          
15498     	0.0222         	0.001344       	650000    	0.4600    	13.60          
15610     	0.0240         	0.001353       	660000    	0.4510    	16.20          
15737     	0.0212         	0.001341       	670000    	0.4420    	18.60          
15869     	0.0215         	0.001369       	680000    	0.4330    	14.40          
15981     	0.0239         	0.001425       	690000    	0.4240    	17.90          
16090     	0.0235         	0.001516       	700000    	0.4150    	20.30          
16204     	0.0228         	0.001550       	710000    	0.4060    	18.20          
16314     	0.0241         	0.001603       	720000    	0.3970    	20.00          
16416     	0.0232         	0.001669       	730000    	0.3880    	22.40          
16521     	0.0248         	0.001638       	740000    	0.3790    	20.80          
16622     	0.0231         	0.001731       	750000    	0.3700    	21.50          
16727     	0.0255         	0.001762       	760000    	0.3610    	20.00          
16834     	0.0225         	0.001691       	770000    	0.3520    	26.80          
16929     	0.0262         	0.001747       	780000    	0.3430    	22.10          
17028     	0.0249         	0.001888       	790000    	0.3340    	20.70          
17117     	0.0257         	0.001919       	800000    	0.3250    	31.00          
17208     	0.0248         	0.002006       	810000    	0.3160    	22.50          
17303     	0.0246         	0.002050       	820000    	0.3070    	20.00          
17394     	0.0286         	0.002181       	830000    	0.2980    	24.50          
17489     	0.0259         	0.002228       	840000    	0.2890    	16.90          
17575     	0.0272         	0.002231       	850000    	0.2800    	23.80          
17667     	0.0256         	0.002188       	860000    	0.2710    	32.70          
17744     	0.0289         	0.002256       	870000    	0.2620    	24.00          
17831     	0.0270         	0.002288       	880000    	0.2530    	24.80          
17918     	0.0258         	0.002300       	890000    	0.2440    	27.80          
18004     	0.0285         	0.002206       	900000    	0.2350    	23.70          
18082     	0.0288         	0.002256       	910000    	0.2260    	30.60          
18160     	0.0313         	0.002247       	920000    	0.2170    	35.60          
18233     	0.0308         	0.002362       	930000    	0.2080    	28.50          
18302     	0.0315         	0.002388       	940000    	0.1990    	37.40          
18371     	0.0335         	0.002472       	950000    	0.1900    	45.20          
18438     	0.0303         	0.002609       	960000    	0.1810    	44.40          
18504     	0.0323         	0.002375       	970000    	0.1720    	35.50          
18569     	0.0357         	0.002494       	980000    	0.1630    	30.60          
18625     	0.0338         	0.002641       	990000    	0.1540    	42.50          
18683     	0.0352         	0.002853       	1000000   	0.1450    	37.10          
18739     	0.0349         	0.002912       	1010000   	0.1360    	50.30          
18795     	0.0334         	0.003194       	1020000   	0.1270    	44.80          
18857     	0.0323         	0.003288       	1030000   	0.1180    	38.10          
18912     	0.0382         	0.003275       	1040000   	0.1090    	38.80          
18957     	0.0395         	0.003338       	1050000   	0.1000    	45.70          
19004     	0.0375         	0.003431       	1060000   	0.1000    	48.40          
19056     	0.0347         	0.003712       	1070000   	0.1000    	48.30          
19111     	0.0346         	0.003609       	1080000   	0.1000    	43.70          
19158     	0.0373         	0.003534       	1090000   	0.1000    	40.10          
19221     	0.0323         	0.003675       	1100000   	0.1000    	40.30          
19276     	0.0384         	0.003588       	1110000   	0.1000    	37.50          
19328     	0.0386         	0.003725       	1120000   	0.1000    	46.90          
19379     	0.0353         	0.003809       	1130000   	0.1000    	46.20          
19425     	0.0403         	0.004250       	1140000   	0.1000    	47.70          
19476     	0.0360         	0.004131       	1150000   	0.1000    	39.40          
19533     	0.0370         	0.004375       	1160000   	0.1000    	51.10          
19575     	0.0416         	0.004419       	1170000   	0.1000    	49.20          
19621     	0.0384         	0.004709       	1180000   	0.1000    	46.90          
19663     	0.0426         	0.004584       	1190000   	0.1000    	56.10          
19706     	0.0425         	0.004872       	1200000   	0.1000    	55.00          
19756     	0.0388         	0.004922       	1210000   	0.1000    	42.40          
19799     	0.0397         	0.004741       	1220000   	0.1000    	48.00          
19844     	0.0406         	0.004741       	1230000   	0.1000    	51.30          
19896     	0.0383         	0.005122       	1240000   	0.1000    	54.50          
19943     	0.0378         	0.005309       	1250000   	0.1000    	39.20          
19992     	0.0385         	0.005534       	1260000   	0.1000    	56.10          
20036     	0.0419         	0.005762       	1270000   	0.1000    	66.30          
20083     	0.0382         	0.006494       	1280000   	0.1000    	100.00         
20129     	0.0423         	0.007269       	1290000   	0.1000    	80.90          
20175     	0.0404         	0.007219       	1300000   	0.1000    	57.90          
20218     	0.0427         	0.007378       	1310000   	0.1000    	56.60          
20274     	0.0369         	0.007294       	1320000   	0.1000    	35.60          
20321     	0.0404         	0.007541       	1330000   	0.1000    	55.40          
20365     	0.0467         	0.007888       	1340000   	0.1000    	73.10          
20405     	0.0508         	0.007641       	1350000   	0.1000    	87.60          
20448     	0.0442         	0.007294       	1360000   	0.1000    	68.20          
20485     	0.0496         	0.007347       	1370000   	0.1000    	70.70          
20524     	0.0450         	0.007262       	1380000   	0.1000    	63.90          
20563     	0.0468         	0.007300       	1390000   	0.1000    	68.10          
20604     	0.0463         	0.007056       	1400000   	0.1000    	60.60          
20642     	0.0466         	0.007309       	1410000   	0.1000    	60.20          
20686     	0.0445         	0.007466       	1420000   	0.1000    	51.30          
20727     	0.0477         	0.007400       	1430000   	0.1000    	83.70          
20767     	0.0450         	0.007247       	1440000   	0.1000    	77.30          
20807     	0.0511         	0.007400       	1450000   	0.1000    	73.60          
20846     	0.0488         	0.007519       	1460000   	0.1000    	82.10          
20891     	0.0447         	0.007484       	1470000   	0.1000    	73.70          
20932     	0.0428         	0.007494       	1480000   	0.1000    	103.60         
20972     	0.0520         	0.007147       	1490000   	0.1000    	81.30          
21006     	0.0546         	0.007216       	1500000   	0.1000    	80.50          
21042     	0.0501         	0.007416       	1510000   	0.1000    	81.70          
21082     	0.0514         	0.007228       	1520000   	0.1000    	68.60          
21125     	0.0472         	0.007434       	1530000   	0.1000    	69.70          
21166     	0.0550         	0.007606       	1540000   	0.1000    	67.10          
21203     	0.0510         	0.007491       	1550000   	0.1000    	72.90          
21244     	0.0462         	0.007903       	1560000   	0.1000    	111.80         
21284     	0.0479         	0.007834       	1570000   	0.1000    	79.40          
21325     	0.0491         	0.007978       	1580000   	0.1000    	81.40          
21362     	0.0524         	0.008434       	1590000   	0.1000    	80.20          
21401     	0.0669         	0.008013       	1600000   	0.1000    	88.40          
21438     	0.0546         	0.007872       	1610000   	0.1000    	92.20          
21476     	0.0518         	0.007525       	1620000   	0.1000    	91.50          
21513     	0.0543         	0.008162       	1630000   	0.1000    	87.80          
21552     	0.0503         	0.008159       	1640000   	0.1000    	131.00         
21592     	0.0467         	0.008591       	1650000   	0.1000    	114.50         
21629     	0.0557         	0.008944       	1660000   	0.1000    	115.90         
21671     	0.0540         	0.009078       	1670000   	0.1000    	88.50          
21713     	0.0502         	0.010200       	1680000   	0.1000    	84.60          
21759     	0.0460         	0.010766       	1690000   	0.1000    	107.50         
21794     	0.0487         	0.009938       	1700000   	0.1000    	82.70          
21833     	0.0563         	0.009769       	1710000   	0.1000    	66.60          
21868     	0.0535         	0.009166       	1720000   	0.1000    	88.80          
21902     	0.0682         	0.009412       	1730000   	0.1000    	128.20         
21941     	0.0915         	0.009719       	1740000   	0.1000    	87.40          
21982     	0.0554         	0.010319       	1750000   	0.1000    	100.70         
22018     	0.0583         	0.010119       	1760000   	0.1000    	128.60         
22060     	0.0605         	0.010544       	1770000   	0.1000    	160.20         
22096     	0.0807         	0.010609       	1780000   	0.1000    	114.60         
22135     	0.0548         	0.010584       	1790000   	0.1000    	102.80         
22176     	0.0576         	0.010378       	1800000   	0.1000    	116.50         
22212     	0.0601         	0.009891       	1810000   	0.1000    	161.80         
22251     	0.0780         	0.009381       	1820000   	0.1000    	98.30          
22286     	0.0588         	0.009747       	1830000   	0.1000    	188.50         
22323     	0.0640         	0.009584       	1840000   	0.1000    	162.60         
22367     	0.1015         	0.009962       	1850000   	0.1000    	137.50         
