Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
312       	0.0125         	0.000000       	10000     	1.0000    	1.80           
623       	0.0119         	0.000000       	20000     	1.0000    	1.60           
894       	0.0136         	0.000000       	30000     	1.0000    	1.40           
1173      	0.0132         	0.000000       	40000     	1.0000    	2.20           
1477      	0.0128         	0.000000       	50000     	1.0000    	2.20           
1801      	0.0115         	0.001850       	60000     	0.9910    	2.60           
2089      	0.0129         	0.003393       	70000     	0.9820    	1.20           
2404      	0.0119         	0.003442       	80000     	0.9730    	2.00           
2688      	0.0134         	0.003486       	90000     	0.9640    	2.60           
2970      	0.0135         	0.003571       	100000    	0.9550    	2.00           
3291      	0.0115         	0.003529       	110000    	0.9460    	2.40           
3606      	0.0122         	0.003597       	120000    	0.9370    	2.60           
3924      	0.0120         	0.003577       	130000    	0.9280    	1.60           
4228      	0.0126         	0.003435       	140000    	0.9190    	1.90           
4519      	0.0131         	0.002076       	150000    	0.9100    	2.80           
4834      	0.0123         	0.001328       	160000    	0.9010    	2.20           
5132      	0.0128         	0.000962       	170000    	0.8920    	1.30           
5419      	0.0128         	0.000770       	180000    	0.8830    	1.60           
5722      	0.0129         	0.000676       	190000    	0.8740    	2.50           
6025      	0.0125         	0.000536       	200000    	0.8650    	1.70           
6329      	0.0120         	0.000513       	210000    	0.8560    	2.10           
6628      	0.0122         	0.000516       	220000    	0.8470    	2.10           
6942      	0.0123         	0.000462       	230000    	0.8380    	2.00           
7242      	0.0122         	0.000455       	240000    	0.8290    	1.80           
7554      	0.0127         	0.000475       	250000    	0.8200    	1.60           
7841      	0.0128         	0.000464       	260000    	0.8110    	2.00           
8126      	0.0131         	0.000466       	270000    	0.8020    	1.20           
8402      	0.0138         	0.000446       	280000    	0.7930    	2.50           
8732      	0.0114         	0.000450       	290000    	0.7840    	2.60           
9015      	0.0129         	0.000435       	300000    	0.7750    	1.80           
9309      	0.0134         	0.000396       	310000    	0.7660    	1.30           
9582      	0.0135         	0.000396       	320000    	0.7570    	2.30           
9883      	0.0129         	0.000412       	330000    	0.7480    	2.40           
10171     	0.0131         	0.000426       	340000    	0.7390    	1.80           
10455     	0.0135         	0.000471       	350000    	0.7300    	2.10           
10743     	0.0137         	0.000535       	360000    	0.7210    	2.20           
