Episode   	AvgTrainReward 	AvgLoss        	Step      	Epsilon   	AvgEvalReward  
300       	0.0136         	0.000000       	10000     	1.0000    	2.50           
606       	0.0122         	0.000000       	20000     	1.0000    	2.30           
883       	0.0135         	0.000000       	30000     	1.0000    	2.10           
1167      	0.0127         	0.000000       	40000     	1.0000    	2.20           
1445      	0.0137         	0.000000       	50000     	1.0000    	2.70           
1713      	0.0137         	0.014338       	60000     	0.9910    	3.10           
1997      	0.0130         	0.010409       	70000     	0.9820    	1.50           
2281      	0.0132         	0.010444       	80000     	0.9730    	3.80           
2615      	0.0114         	0.009191       	90000     	0.9640    	1.20           
2928      	0.0120         	0.008097       	100000    	0.9550    	2.40           
3207      	0.0137         	0.008447       	110000    	0.9460    	3.10           
3486      	0.0134         	0.016806       	120000    	0.9370    	4.30           
3787      	0.0125         	0.031709       	130000    	0.9280    	7.90           
4055      	0.0140         	0.031053       	140000    	0.9190    	10.80          
4307      	0.0148         	0.042994       	150000    	0.9100    	11.60          
4540      	0.0155         	0.054831       	160000    	0.9010    	12.00          
4797      	0.0154         	0.059944       	170000    	0.8920    	13.00          
5041      	0.0144         	0.055378       	180000    	0.8830    	16.70          
5304      	0.0143         	0.058347       	190000    	0.8740    	16.80          
5568      	0.0146         	0.072841       	200000    	0.8650    	14.60          
5802      	0.0157         	0.092919       	210000    	0.8560    	19.20          
6053      	0.0148         	0.092441       	220000    	0.8470    	15.90          
6306      	0.0146         	0.093075       	230000    	0.8380    	16.50          
6551      	0.0152         	0.089609       	240000    	0.8290    	12.30          
6791      	0.0159         	0.086116       	250000    	0.8200    	18.70          
7026      	0.0152         	0.090047       	260000    	0.8110    	16.10          
7258      	0.0160         	0.090509       	270000    	0.8020    	18.50          
7487      	0.0168         	0.096350       	280000    	0.7930    	19.10          
7712      	0.0158         	0.104712       	290000    	0.7840    	20.70          
7948      	0.0153         	0.109616       	300000    	0.7750    	17.30          
8190      	0.0147         	0.133691       	310000    	0.7660    	19.30          
8399      	0.0172         	0.154031       	320000    	0.7570    	18.90          
8609      	0.0160         	0.152216       	330000    	0.7480    	20.10          
8818      	0.0186         	0.167150       	340000    	0.7390    	19.10          
9035      	0.0164         	0.171559       	350000    	0.7300    	21.80          
9250      	0.0172         	0.178288       	360000    	0.7210    	20.40          
9467      	0.0162         	0.192788       	370000    	0.7120    	23.30          
9693      	0.0162         	0.189912       	380000    	0.7030    	21.50          
9918      	0.0154         	0.204378       	390000    	0.6940    	19.00          
10132     	0.0170         	0.205562       	400000    	0.6850    	26.50          
10332     	0.0180         	0.208053       	410000    	0.6760    	22.80          
10518     	0.0179         	0.223119       	420000    	0.6670    	25.10          
10722     	0.0173         	0.217322       	430000    	0.6580    	20.70          
10935     	0.0176         	0.227503       	440000    	0.6490    	20.70          
11114     	0.0184         	0.216431       	450000    	0.6400    	32.10          
11297     	0.0187         	0.216056       	460000    	0.6310    	19.00          
11475     	0.0181         	0.220634       	470000    	0.6220    	22.00          
11654     	0.0181         	0.260678       	480000    	0.6130    	34.90          
11856     	0.0172         	0.187434       	490000    	0.6040    	26.80          
12029     	0.0196         	0.192747       	500000    	0.5950    	32.70          
12203     	0.0186         	0.187125       	510000    	0.5860    	29.40          
12369     	0.0195         	0.160959       	520000    	0.5770    	35.10          
12549     	0.0202         	0.171053       	530000    	0.5680    	27.30          
12712     	0.0213         	0.160612       	540000    	0.5590    	24.50          
12860     	0.0202         	0.144194       	550000    	0.5500    	25.40          
13029     	0.0187         	0.142041       	560000    	0.5410    	34.00          
13176     	0.0210         	0.135894       	570000    	0.5320    	30.90          
13322     	0.0215         	0.127000       	580000    	0.5230    	31.90          
13477     	0.0201         	0.127503       	590000    	0.5140    	27.90          
13628     	0.0206         	0.125750       	600000    	0.5050    	26.60          
13783     	0.0205         	0.122316       	610000    	0.4960    	32.20          
13914     	0.0231         	0.118650       	620000    	0.4870    	29.40          
14044     	0.0225         	0.111338       	630000    	0.4780    	30.30          
14183     	0.0207         	0.116844       	640000    	0.4690    	24.30          
14325     	0.0212         	0.102922       	650000    	0.4600    	32.70          
14460     	0.0231         	0.101591       	660000    	0.4510    	37.90          
14596     	0.0242         	0.104525       	670000    	0.4420    	34.50          
14719     	0.0234         	0.101141       	680000    	0.4330    	33.00          
14851     	0.0234         	0.095550       	690000    	0.4240    	33.30          
14970     	0.0242         	0.091147       	700000    	0.4150    	38.20          
15097     	0.0239         	0.094209       	710000    	0.4060    	35.40          
15235     	0.0244         	0.116972       	720000    	0.3970    	36.30          
15353     	0.0228         	0.092388       	730000    	0.3880    	26.70          
15464     	0.0232         	0.088734       	740000    	0.3790    	39.80          
15575     	0.0261         	0.080878       	750000    	0.3700    	42.80          
15679     	0.0281         	0.077225       	760000    	0.3610    	34.60          
15781     	0.0267         	0.078191       	770000    	0.3520    	44.30          
15879     	0.0267         	0.074962       	780000    	0.3430    	40.90          
15975     	0.0264         	0.083172       	790000    	0.3340    	40.50          
16085     	0.0257         	0.077716       	800000    	0.3250    	46.70          
16179     	0.0286         	0.074647       	810000    	0.3160    	41.50          
16274     	0.0272         	0.072622       	820000    	0.3070    	43.70          
16368     	0.0274         	0.080000       	830000    	0.2980    	41.60          
16454     	0.0282         	0.076069       	840000    	0.2890    	44.90          
16542     	0.0264         	0.068622       	850000    	0.2800    	48.10          
16627     	0.0289         	0.070472       	860000    	0.2710    	41.60          
16716     	0.0281         	0.068541       	870000    	0.2620    	44.90          
16796     	0.0293         	0.066822       	880000    	0.2530    	41.70          
16880     	0.0302         	0.076306       	890000    	0.2440    	31.30          
16950     	0.0320         	0.064266       	900000    	0.2350    	43.00          
17018     	0.0318         	0.068022       	910000    	0.2260    	40.00          
17087     	0.0297         	0.062834       	920000    	0.2170    	52.30          
17158     	0.0365         	0.059816       	930000    	0.2080    	47.50          
17224     	0.0329         	0.061269       	940000    	0.1990    	43.80          
17282     	0.0355         	0.064253       	950000    	0.1900    	50.80          
17347     	0.0310         	0.066134       	960000    	0.1810    	48.10          
17410     	0.0359         	0.067400       	970000    	0.1720    	67.10          
17476     	0.0342         	0.060825       	980000    	0.1630    	46.60          
17522     	0.0419         	0.064831       	990000    	0.1540    	58.80          
17580     	0.0369         	0.070303       	1000000   	0.1450    	41.50          
17637     	0.0374         	0.062916       	1010000   	0.1360    	55.90          
17687     	0.0388         	0.056875       	1020000   	0.1270    	51.30          
17737     	0.0412         	0.059872       	1030000   	0.1180    	57.30          
17790     	0.0397         	0.059931       	1040000   	0.1090    	50.40          
17842     	0.0379         	0.060306       	1050000   	0.1000    	60.30          
17887     	0.0424         	0.064809       	1060000   	0.1000    	53.90          
17925     	0.0429         	0.068809       	1070000   	0.1000    	62.50          
17969     	0.0454         	0.057981       	1080000   	0.1000    	57.40          
18017     	0.0406         	0.060444       	1090000   	0.1000    	59.40          
18062     	0.0395         	0.061756       	1100000   	0.1000    	63.90          
18110     	0.0414         	0.059719       	1110000   	0.1000    	61.40          
18154     	0.0411         	0.056366       	1120000   	0.1000    	65.10          
18198     	0.0418         	0.056294       	1130000   	0.1000    	52.10          
18244     	0.0371         	0.062781       	1140000   	0.1000    	64.20          
18286     	0.0410         	0.058947       	1150000   	0.1000    	78.20          
18330     	0.0444         	0.059219       	1160000   	0.1000    	54.60          
18371     	0.0476         	0.058688       	1170000   	0.1000    	65.70          
18410     	0.0495         	0.059309       	1180000   	0.1000    	65.20          
18447     	0.0429         	0.057331       	1190000   	0.1000    	61.10          
18493     	0.0454         	0.056544       	1200000   	0.1000    	63.20          
18531     	0.0500         	0.062291       	1210000   	0.1000    	70.60          
18575     	0.0473         	0.056500       	1220000   	0.1000    	97.60          
18621     	0.0419         	0.063225       	1230000   	0.1000    	64.60          
18662     	0.0470         	0.059072       	1240000   	0.1000    	64.90          
18711     	0.0468         	0.062056       	1250000   	0.1000    	67.80          
18748     	0.0501         	0.060181       	1260000   	0.1000    	74.20          
18783     	0.0642         	0.063234       	1270000   	0.1000    	82.70          
18890     	0.0356         	0.175869       	1280000   	0.1000    	34.60          
18958     	0.0394         	0.144488       	1290000   	0.1000    	16.00          
19036     	0.0347         	0.125928       	1300000   	0.1000    	62.70          
19129     	0.0327         	0.120869       	1310000   	0.1000    	7.40           
19204     	0.0362         	0.092938       	1320000   	0.1000    	68.20          
19290     	0.0332         	0.131353       	1330000   	0.1000    	10.50          
19351     	0.0432         	0.102266       	1340000   	0.1000    	69.60          
19409     	0.0399         	0.081666       	1350000   	0.1000    	66.80          
19463     	0.0422         	0.099309       	1360000   	0.1000    	70.70          
19522     	0.0433         	0.115106       	1370000   	0.1000    	87.40          
19582     	0.0422         	0.100541       	1380000   	0.1000    	6.10           
19650     	0.0321         	0.108278       	1390000   	0.1000    	88.70          
19692     	0.0448         	0.100766       	1400000   	0.1000    	79.30          
19739     	0.0459         	0.095038       	1410000   	0.1000    	94.10          
19791     	0.0490         	0.084994       	1420000   	0.1000    	80.30          
19850     	0.0417         	0.120619       	1430000   	0.1000    	70.70          
19892     	0.0527         	0.064891       	1440000   	0.1000    	87.00          
19933     	0.0506         	0.074109       	1450000   	0.1000    	74.60          
19972     	0.0470         	0.069597       	1460000   	0.1000    	75.30          
20017     	0.0521         	0.096103       	1470000   	0.1000    	81.40          
20065     	0.0522         	0.098391       	1480000   	0.1000    	79.80          
20117     	0.0494         	0.096234       	1490000   	0.1000    	73.00          
